Key,Entity,Code,Year,Historical and more recent literacy estimates
NLD1650,Netherlands,NLD,1650,53
NLD1750,Netherlands,NLD,1750,85
NLD2003,Netherlands,NLD,2003,99
NCL1976,New Caledonia,NCL,1976,91.30037
NCL1989,New Caledonia,NCL,1989,93.08063
NCL1996,New Caledonia,NCL,1996,96.13792
NCL2006,New Caledonia,NCL,2006,97.3
NCL2014,New Caledonia,NCL,2014,96.80667
NCL2015,New Caledonia,NCL,2015,96.93782
NZL2003,New Zealand,NZL,2003,99
NIC1920,Nicaragua,NIC,1920,39
NIC1930,Nicaragua,NIC,1930,39
NIC1940,Nicaragua,NIC,1940,38
NIC1950,Nicaragua,NIC,1950,38
NIC1960,Nicaragua,NIC,1960,47
NIC1970,Nicaragua,NIC,1970,57
NIC1971,Nicaragua,NIC,1971,57
NIC1972,Nicaragua,NIC,1972,58
NIC1973,Nicaragua,NIC,1973,58
NIC1974,Nicaragua,NIC,1974,59
NIC1975,Nicaragua,NIC,1975,59
NIC1976,Nicaragua,NIC,1976,59
NIC1977,Nicaragua,NIC,1977,60
NIC1978,Nicaragua,NIC,1978,60
NIC1979,Nicaragua,NIC,1979,61
NIC1980,Nicaragua,NIC,1980,61
NIC1981,Nicaragua,NIC,1981,61
NIC1982,Nicaragua,NIC,1982,62
NIC1983,Nicaragua,NIC,1983,62
NIC1984,Nicaragua,NIC,1984,63
NIC1985,Nicaragua,NIC,1985,63
NIC1986,Nicaragua,NIC,1986,63
NIC1987,Nicaragua,NIC,1987,64
NIC1988,Nicaragua,NIC,1988,64
NIC1989,Nicaragua,NIC,1989,64
NIC1990,Nicaragua,NIC,1990,65
NIC1991,Nicaragua,NIC,1991,65
NIC1992,Nicaragua,NIC,1992,65
NIC1993,Nicaragua,NIC,1993,66
NIC1994,Nicaragua,NIC,1994,66
NIC1995,Nicaragua,NIC,1995,67
NIC1996,Nicaragua,NIC,1996,67
NIC1997,Nicaragua,NIC,1997,67
NIC1998,Nicaragua,NIC,1998,68
NIC1999,Nicaragua,NIC,1999,68
NIC2000,Nicaragua,NIC,2000,66
NIC2001,Nicaragua,NIC,2001,76.67713
NIC2005,Nicaragua,NIC,2005,78.00298
NIC2015,Nicaragua,NIC,2015,82.61455
NER2001,Niger,NER,2001,14.37604
NER2005,Niger,NER,2005,28.67242
NER2012,Niger,NER,2012,30.56039
NER2015,Niger,NER,2015,19.1026
NER2022,Niger,NER,2022,38.1
NGA1991,Nigeria,NGA,1991,55.44675
NGA2003,Nigeria,NGA,2003,54.77318
NGA2006,Nigeria,NGA,2006,70.19835
NGA2008,Nigeria,NGA,2008,51.07766
NGA2015,Nigeria,NGA,2015,59.56808
NGA2018,Nigeria,NGA,2018,62.01601
NIU2011,Niue,NIU,2011,95
2003,North America (WB),,2003,98.57133
2004,North America (WB),,2004,98.58384
2005,North America (WB),,2005,98.60252
2006,North America (WB),,2006,98.61302
2007,North America (WB),,2007,98.6258
2008,North America (WB),,2008,98.64645
2017,North America (WB),,2017,98.7193
2018,North America (WB),,2018,98.72725
2019,North America (WB),,2019,98.73326
2020,North America (WB),,2020,98.74023
2021,North America (WB),,2021,98.73995
2022,North America (WB),,2022,98.74067
PRK2008,North Korea,PRK,2008,99.99819
PRK2015,North Korea,PRK,2015,99.99924
PRK2018,North Korea,PRK,2018,99.99819
MKD1994,North Macedonia,MKD,1994,94.05875
MKD2002,North Macedonia,MKD,2002,96.12893
MKD2012,North Macedonia,MKD,2012,97.6
MKD2014,North Macedonia,MKD,2014,97.75175
MKD2015,North Macedonia,MKD,2015,97.84376
MNP1980,Northern Mariana Islands,MNP,1980,97
NOR2011,Norway,NOR,2011,100
OMN2003,Oman,OMN,2003,81.36331
OMN2008,Oman,OMN,2008,86.62114
OMN2010,Oman,OMN,2010,86.939
OMN2014,Oman,OMN,2014,91.9812
OMN2015,Oman,OMN,2015,93.03861
OMN2017,Oman,OMN,2017,95.576
OMN2018,Oman,OMN,2018,95.65153
OMN2022,Oman,OMN,2022,97.33906
1990,Other small states,,1990,73.33838
2000,Other small states,,2000,78.839775
2010,Other small states,,2010,83.64996
2000,Pacific island small states,,2000,86.692055
PAK1981,Pakistan,PAK,1981,25.72519
PAK1998,Pakistan,PAK,1998,42.69931
PAK2005,Pakistan,PAK,2005,49.87364
PAK2006,Pakistan,PAK,2006,54.15121
PAK2007,Pakistan,PAK,2007,52.13683
PAK2008,Pakistan,PAK,2008,55.52637
PAK2009,Pakistan,PAK,2009,54.89264
PAK2010,Pakistan,PAK,2010,55.37519
PAK2011,Pakistan,PAK,2011,54.73802
PAK2012,Pakistan,PAK,2012,56.76434
PAK2013,Pakistan,PAK,2013,55.59499
PAK2014,Pakistan,PAK,2014,56.97715
PAK2015,Pakistan,PAK,2015,56.44031
PAK2017,Pakistan,PAK,2017,59.13205
PAK2018,Pakistan,PAK,2018,57.01057
PAK2019,Pakistan,PAK,2019,57.99886
PLW1980,Palau,PLW,1980,91.92142
PLW1994,Palau,PLW,1994,94.4333
PLW2004,Palau,PLW,2004,96.9898
PLW2013,Palau,PLW,2013,99.50313
PLW2015,Palau,PLW,2015,96.59374
PSE1997,Palestine,PSE,1997,86.07696
PSE2004,Palestine,PSE,2004,92.47751
PSE2006,Palestine,PSE,2006,93.45087
PSE2007,Palestine,PSE,2007,93.7617
PSE2008,Palestine,PSE,2008,94.00984
PSE2009,Palestine,PSE,2009,94.43018
PSE2010,Palestine,PSE,2010,94.71748
PSE2011,Palestine,PSE,2011,95.02582
PSE2012,Palestine,PSE,2012,95.67101
PSE2013,Palestine,PSE,2013,96.04603
PSE2014,Palestine,PSE,2014,96.21293
PSE2015,Palestine,PSE,2015,96.47712
PSE2016,Palestine,PSE,2016,96.71919
PSE2017,Palestine,PSE,2017,96.9244
PSE2018,Palestine,PSE,2018,97.21861
PSE2019,Palestine,PSE,2019,97.37826
PAN1900,Panama,PAN,1900,17
PAN1910,Panama,PAN,1910,27
PAN1920,Panama,PAN,1920,42
PAN1930,Panama,PAN,1930,46
PAN1940,Panama,PAN,1940,58
PAN1950,Panama,PAN,1950,67
PAN1960,Panama,PAN,1960,73
PAN1970,Panama,PAN,1970,79
PAN1971,Panama,PAN,1971,80
PAN1972,Panama,PAN,1972,80
PAN1973,Panama,PAN,1973,81
PAN1974,Panama,PAN,1974,81
PAN1975,Panama,PAN,1975,82
PAN1976,Panama,PAN,1976,83
PAN1977,Panama,PAN,1977,83
PAN1978,Panama,PAN,1978,84
PAN1979,Panama,PAN,1979,84
PAN1980,Panama,PAN,1980,88.07174
PAN1990,Panama,PAN,1990,88.77986
PAN2000,Panama,PAN,2000,91.89962
PAN2010,Panama,PAN,2010,94.09412
PAN2015,Panama,PAN,2015,95.03823
PAN2018,Panama,PAN,2018,95.41181
PAN2019,Panama,PAN,2019,95.73608
PNG2000,Papua New Guinea,PNG,2000,57.34326
PNG2010,Papua New Guinea,PNG,2010,61.6
PNG2014,Papua New Guinea,PNG,2014,63.09609
PNG2015,Papua New Guinea,PNG,2015,63.43349
PRY1900,Paraguay,PRY,1900,31
PRY1910,Paraguay,PRY,1910,38
PRY1920,Paraguay,PRY,1920,45
PRY1930,Paraguay,PRY,1930,52
PRY1940,Paraguay,PRY,1940,59
PRY1950,Paraguay,PRY,1950,66
PRY1960,Paraguay,PRY,1960,73
PRY1970,Paraguay,PRY,1970,80
PRY1971,Paraguay,PRY,1971,80
PRY1972,Paraguay,PRY,1972,81
PRY1973,Paraguay,PRY,1973,82
PRY1974,Paraguay,PRY,1974,82
PRY1975,Paraguay,PRY,1975,83
PRY1976,Paraguay,PRY,1976,84
PRY1977,Paraguay,PRY,1977,84
PRY1978,Paraguay,PRY,1978,85
PRY1979,Paraguay,PRY,1979,85
PRY1980,Paraguay,PRY,1980,86
PRY1981,Paraguay,PRY,1981,86
PRY1982,Paraguay,PRY,1982,78.45861
PRY1992,Paraguay,PRY,1992,90.27182
PRY2007,Paraguay,PRY,2007,94.55822
PRY2008,Paraguay,PRY,2008,93.29208
PRY2009,Paraguay,PRY,2009,93.75424
PRY2010,Paraguay,PRY,2010,93.87092
PRY2012,Paraguay,PRY,2012,94.19747
PRY2013,Paraguay,PRY,2013,95.05904
PRY2014,Paraguay,PRY,2014,95.03481
PRY2015,Paraguay,PRY,2015,95.55484
PRY2016,Paraguay,PRY,2016,94.65024
PRY2018,Paraguay,PRY,2018,94.0208
PRY2019,Paraguay,PRY,2019,93.21353
PRY2020,Paraguay,PRY,2020,94.54455
PER1900,Peru,PER,1900,24
PER1910,Peru,PER,1910,29
PER1920,Peru,PER,1920,33
PER1930,Peru,PER,1930,37
PER1940,Peru,PER,1940,42
PER1950,Peru,PER,1950,51
PER1960,Peru,PER,1960,60
PER1970,Peru,PER,1970,72
PER1979,Peru,PER,1979,79
PER1980,Peru,PER,1980,79
PER1981,Peru,PER,1981,81.91846
PER1993,Peru,PER,1993,87.15063
PER2004,Peru,PER,2004,87.66985
PER2005,Peru,PER,2005,87.90867
PER2006,Peru,PER,2006,88.69934
PER2007,Peru,PER,2007,89.59081
PER2012,Peru,PER,2012,93.84173
PER2014,Peru,PER,2014,93.70795
PER2015,Peru,PER,2015,94.16234
PER2016,Peru,PER,2016,94.17367
PER2017,Peru,PER,2017,94.14961
PER2018,Peru,PER,2018,94.40827
PER2020,Peru,PER,2020,94.49793
PHL1980,Philippines,PHL,1980,83.31723
PHL1990,Philippines,PHL,1990,93.5739
PHL1994,Philippines,PHL,1994,93.91597
PHL2000,Philippines,PHL,2000,92.60006
PHL2003,Philippines,PHL,2003,92.59069
PHL2008,Philippines,PHL,2008,95.4201
PHL2013,Philippines,PHL,2013,96.398
PHL2015,Philippines,PHL,2015,98.18255
PHL2019,Philippines,PHL,2019,96.27817
POL1475,Poland,POL,1475,0
POL1550,Poland,POL,1550,0
POL1650,Poland,POL,1650,3
POL1750,Poland,POL,1750,5
POL1978,Poland,POL,1978,98.74274
POL1988,Poland,POL,1988,99.3
POL1994,Poland,POL,1994,99.40237
POL2004,Poland,POL,2004,99.61794
POL2014,Poland,POL,2014,99.77411
POL2015,Poland,POL,2015,99.78742
POL2021,Poland,POL,2021,99.8
PRT1981,Portugal,PRT,1981,79.43561
PRT1991,Portugal,PRT,1991,87.94785
PRT2011,Portugal,PRT,2011,94.47705
PRT2015,Portugal,PRT,2015,95.42811
PRT2021,Portugal,PRT,2021,96.78
1990,Pre-demographic dividend,,1990,51.186974
2000,Pre-demographic dividend,,2000,55.785202
2010,Pre-demographic dividend,,2010,58.624794
PRI1980,Puerto Rico,PRI,1980,86.74606
PRI1990,Puerto Rico,PRI,1990,89.6225
PRI2004,Puerto Rico,PRI,2004,90.52934
PRI2010,Puerto Rico,PRI,2010,91.96523
PRI2015,Puerto Rico,PRI,2015,93.32942
PRI2017,Puerto Rico,PRI,2017,92.39
PRI2021,Puerto Rico,PRI,2021,92.4
QAT1986,Qatar,QAT,1986,75.63504
QAT1997,Qatar,QAT,1997,83.26216
QAT2004,Qatar,QAT,2004,88.96239
QAT2007,Qatar,QAT,2007,93.08255
QAT2008,Qatar,QAT,2008,93.98973
QAT2009,Qatar,QAT,2009,94.72429
QAT2010,Qatar,QAT,2010,96.28374
QAT2011,Qatar,QAT,2011,96.40687
QAT2012,Qatar,QAT,2012,96.67859
QAT2013,Qatar,QAT,2013,97.47785
QAT2014,Qatar,QAT,2014,97.74669
QAT2015,Qatar,QAT,2015,97.75709
ROU1992,Romania,ROU,1992,96.70998
ROU2002,Romania,ROU,2002,97.29759
ROU2011,Romania,ROU,2011,98.60429
ROU2015,Romania,ROU,2015,98.75703
ROU2021,Romania,ROU,2021,98.9
RUS1820,Russia,RUS,1820,8
RUS1870,Russia,RUS,1870,15
RUS1989,Russia,RUS,1989,97.98605
RUS2002,Russia,RUS,2002,99.44097
RUS2010,Russia,RUS,2010,99.68427
RUS2015,Russia,RUS,2015,99.71957
RUS2021,Russia,RUS,2021,99.92777
RWA1978,Rwanda,RWA,1978,38.24343
RWA1991,Rwanda,RWA,1991,57.85349
RWA2000,Rwanda,RWA,2000,64.8886
RWA2010,Rwanda,RWA,2010,65.85227
RWA2012,Rwanda,RWA,2012,68.33103
RWA2014,Rwanda,RWA,2014,70.80413
RWA2015,Rwanda,RWA,2015,71.2435
RWA2018,Rwanda,RWA,2018,73.21559
RWA2021,Rwanda,RWA,2021,75.9
SHN1987,Saint Helena,SHN,1987,97
KNA2003,Saint Kitts and Nevis,KNA,2003,97.8
LCA2001,Saint Lucia,LCA,2001,90.1
SPM1982,Saint Pierre and Miquelon,SPM,1982,99
VCT1970,Saint Vincent and the Grenadines,VCT,1970,95.63216
VCT1980,Saint Vincent and the Grenadines,VCT,1980,96.9
WSM1991,Samoa,WSM,1991,97.94433
WSM2004,Samoa,WSM,2004,98.54048
WSM2011,Samoa,WSM,2011,98.97326
WSM2015,Samoa,WSM,2015,99.01501
WSM2021,Samoa,WSM,2021,99.1
SMR2011,San Marino,SMR,2011,96
STP1981,Sao Tome and Principe,STP,1981,57.32426
STP1991,Sao Tome and Principe,STP,1991,73.24242
STP2001,Sao Tome and Principe,STP,2001,84.90851
STP2008,Sao Tome and Principe,STP,2008,69.53639
STP2012,Sao Tome and Principe,STP,2012,90.1431
STP2015,Sao Tome and Principe,STP,2015,91.74711
STP2022,Sao Tome and Principe,STP,2022,93.75
SAU1992,Saudi Arabia,SAU,1992,70.82165
SAU2000,Saudi Arabia,SAU,2000,79.35094
SAU2004,Saudi Arabia,SAU,2004,82.85774
SAU2013,Saudi Arabia,SAU,2013,94.42634
SAU2015,Saudi Arabia,SAU,2015,94.84237
SAU2017,Saudi Arabia,SAU,2017,95.32863
SAU2020,Saudi Arabia,SAU,2020,97.58507
SEN1988,Senegal,SEN,1988,26.86885
SEN2002,Senegal,SEN,2002,39.27525
SEN2006,Senegal,SEN,2006,41.89115
SEN2009,Senegal,SEN,2009,48.03678
SEN2011,Senegal,SEN,2011,51.81455
SEN2013,Senegal,SEN,2013,43.5345
SEN2015,Senegal,SEN,2015,55.62485
SEN2017,Senegal,SEN,2017,51.90042
SEN2022,Senegal,SEN,2022,57.67
SRB2003,Serbia,SRB,2003,96.39724
SRB2011,Serbia,SRB,2011,97.96241
SRB2015,Serbia,SRB,2015,98.00289
SRB2016,Serbia,SRB,2016,98.84151
SRB2019,Serbia,SRB,2019,99.48253
SYC1987,Seychelles,SYC,1987,84.22922
SYC1994,Seychelles,SYC,1994,87.81115
SYC2002,Seychelles,SYC,2002,91.83646
SYC2010,Seychelles,SYC,2010,93.95423
SYC2015,Seychelles,SYC,2015,95.32108
SYC2020,Seychelles,SYC,2020,96.2
SLE2004,Sierra Leone,SLE,2004,34.82679
SLE2013,Sierra Leone,SLE,2013,32.42617
SLE2014,Sierra Leone,SLE,2014,47.18624
SLE2015,Sierra Leone,SLE,2015,48.4319
SLE2022,Sierra Leone,SLE,2022,48.64
SGP1980,Singapore,SGP,1980,82.90605
SGP1990,Singapore,SGP,1990,89.096
SGP2000,Singapore,SGP,2000,92.5494
SGP2010,Singapore,SGP,2010,95.85733
SGP2011,Singapore,SGP,2011,96.18604
SGP2012,Singapore,SGP,2012,96.36979
SGP2013,Singapore,SGP,2013,96.54802
SGP2014,Singapore,SGP,2014,96.71669
SGP2015,Singapore,SGP,2015,96.82549
SGP2016,Singapore,SGP,2016,97.04956
SGP2017,Singapore,SGP,2017,97.20222
SGP2018,Singapore,SGP,2018,97.34486
SGP2019,Singapore,SGP,2019,97.47958
SGP2020,Singapore,SGP,2020,97.13185
SVK2004,Slovakia,SVK,2004,99.6
SVN1991,Slovenia,SVN,1991,99.52452
SVN2001,Slovenia,SVN,2001,99.6
SVN2004,Slovenia,SVN,2004,99.65179
SVN2014,Slovenia,SVN,2014,99.71005
SVN2015,Slovenia,SVN,2015,99.71476
1990,Small states,,1990,77.28492
2000,Small states,,2000,81.47796
2010,Small states,,2010,85.654785
SLB1999,Solomon Islands,SLB,1999,76.6
SLB2011,Solomon Islands,SLB,2011,84.1
SOM1972,Somalia,SOM,1972,5.40465
SOM2001,Somalia,SOM,2001,37.8
SOM2022,Somalia,SOM,2022,41.025
ZAF1980,South Africa,ZAF,1980,76.20049
ZAF1996,South Africa,ZAF,1996,82.4021
ZAF2007,South Africa,ZAF,2007,88.71725
ZAF2009,South Africa,ZAF,2009,92.89486
ZAF2010,South Africa,ZAF,2010,92.87732
ZAF2011,South Africa,ZAF,2011,93.10214
ZAF2012,South Africa,ZAF,2012,93.72947
ZAF2014,South Africa,ZAF,2014,94.1399
ZAF2015,South Africa,ZAF,2015,94.36792
ZAF2017,South Africa,ZAF,2017,87.04667
ZAF2019,South Africa,ZAF,2019,95.02297
ZAF2021,South Africa,ZAF,2021,90.00136
1990,South Asia,,1990,46.487602
2000,South Asia,,2000,58.08542
2010,South Asia,,2010,66.69118
1990,South Asia (IDA & IBRD),,1990,46.487602
2000,South Asia (IDA & IBRD),,2000,58.08542
2010,South Asia (IDA & IBRD),,2010,66.69118
1975,South Asia (WB),,1975,36.03934
1976,South Asia (WB),,1976,36.04425
1977,South Asia (WB),,1977,36.6957
1978,South Asia (WB),,1978,37.34392
1979,South Asia (WB),,1979,37.98005
1980,South Asia (WB),,1980,38.5959
1981,South Asia (WB),,1981,38.63157
1982,South Asia (WB),,1982,39.82555
1983,South Asia (WB),,1983,40.47922
1984,South Asia (WB),,1984,41.1337
1985,South Asia (WB),,1985,41.78566
1986,South Asia (WB),,1986,42.44037
1987,South Asia (WB),,1987,43.09805
1988,South Asia (WB),,1988,43.84537
1989,South Asia (WB),,1989,44.61243
1990,South Asia (WB),,1990,45.3592
1991,South Asia (WB),,1991,45.78956
1992,South Asia (WB),,1992,47.08633
1993,South Asia (WB),,1993,48.08146
1994,South Asia (WB),,1994,48.84938
1995,South Asia (WB),,1995,49.64048
1996,South Asia (WB),,1996,50.4492
1997,South Asia (WB),,1997,51.26017
1998,South Asia (WB),,1998,56.10294
1999,South Asia (WB),,1999,56.87631
2000,South Asia (WB),,2000,57.65058
2001,South Asia (WB),,2001,58.09879
2002,South Asia (WB),,2002,59.20313
2003,South Asia (WB),,2003,60.09578
2004,South Asia (WB),,2004,60.87617
2005,South Asia (WB),,2005,60.62967
2006,South Asia (WB),,2006,60.16197
2007,South Asia (WB),,2007,61.70198
2008,South Asia (WB),,2008,62.79358
2009,South Asia (WB),,2009,63.46568
2010,South Asia (WB),,2010,66.03606
2011,South Asia (WB),,2011,66.50597
2012,South Asia (WB),,2012,67.30776
2013,South Asia (WB),,2013,68.05453
2014,South Asia (WB),,2014,68.79317
2015,South Asia (WB),,2015,69.75716
2016,South Asia (WB),,2016,71.10493
2017,South Asia (WB),,2017,71.79036
2018,South Asia (WB),,2018,72.08151
2019,South Asia (WB),,2019,71.94279
2020,South Asia (WB),,2020,72.65861
2021,South Asia (WB),,2021,73.42247
2022,South Asia (WB),,2022,74.18776
KOR2008,South Korea,KOR,2008,97.96594
KOR2018,South Korea,KOR,2018,98.8
SSD2008,South Sudan,SSD,2008,26.83128
SSD2015,South Sudan,SSD,2015,31.97625
SSD2018,South Sudan,SSD,2018,34.52276
1987,Southern and Eastern Africa (WB),,1987,56.85891
1988,Southern and Eastern Africa (WB),,1988,57.16619
1989,Southern and Eastern Africa (WB),,1989,57.61875
1990,Southern and Eastern Africa (WB),,1990,58.18002
1991,Southern and Eastern Africa (WB),,1991,58.14119
1992,Southern and Eastern Africa (WB),,1992,58.53064
1993,Southern and Eastern Africa (WB),,1993,58.9126
1994,Southern and Eastern Africa (WB),,1994,59.52685
1995,Southern and Eastern Africa (WB),,1995,59.92194
1996,Southern and Eastern Africa (WB),,1996,60.43493
1997,Southern and Eastern Africa (WB),,1997,61.17406
1998,Southern and Eastern Africa (WB),,1998,61.40871
1999,Southern and Eastern Africa (WB),,1999,62.25842
2000,Southern and Eastern Africa (WB),,2000,62.49518
2001,Southern and Eastern Africa (WB),,2001,63.41789
2002,Southern and Eastern Africa (WB),,2002,63.74941
2003,Southern and Eastern Africa (WB),,2003,64.3503
2004,Southern and Eastern Africa (WB),,2004,65.60042
2005,Southern and Eastern Africa (WB),,2005,63.94247
2006,Southern and Eastern Africa (WB),,2006,62.13387
2007,Southern and Eastern Africa (WB),,2007,62.83576
2008,Southern and Eastern Africa (WB),,2008,63.30951
2009,Southern and Eastern Africa (WB),,2009,64.00042
2010,Southern and Eastern Africa (WB),,2010,64.61788
2011,Southern and Eastern Africa (WB),,2011,66.82965
2012,Southern and Eastern Africa (WB),,2012,68.36135
2013,Southern and Eastern Africa (WB),,2013,69.3831
2014,Southern and Eastern Africa (WB),,2014,69.83477
2015,Southern and Eastern Africa (WB),,2015,70.31342
2016,Southern and Eastern Africa (WB),,2016,71.0952
2017,Southern and Eastern Africa (WB),,2017,71.00907
2018,Southern and Eastern Africa (WB),,2018,71.39262
2019,Southern and Eastern Africa (WB),,2019,72.63497
2020,Southern and Eastern Africa (WB),,2020,72.78562
2021,Southern and Eastern Africa (WB),,2021,72.58116
2022,Southern and Eastern Africa (WB),,2022,72.6004
ESP1475,Spain,ESP,1475,3
ESP1550,Spain,ESP,1550,4
ESP1650,Spain,ESP,1650,5
ESP1750,Spain,ESP,1750,8
ESP1820,Spain,ESP,1820,20
ESP1870,Spain,ESP,1870,30
ESP1981,Spain,ESP,1981,92.80977
ESP1991,Spain,ESP,1991,96.49497
ESP2004,Spain,ESP,2004,97.16512
ESP2005,Spain,ESP,2005,97.75069
ESP2006,Spain,ESP,2006,97.75214
ESP2007,Spain,ESP,2007,97.93884
ESP2008,Spain,ESP,2008,97.63061
ESP2009,Spain,ESP,2009,97.67927
ESP2010,Spain,ESP,2010,97.7489
ESP2011,Spain,ESP,2011,97.78375
ESP2012,Spain,ESP,2012,97.89454
ESP2013,Spain,ESP,2013,98.07913
